"File","Pattern","Line","Match"
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","15","app.use(""/api/enterprise/alerts"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","31","app.use(""/api"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","55","app.use(""/api/health"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","60","app.use(""/api/auth"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","61","app.use(""/api/cases"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","62","app.use(""/api/clients"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","63","app.use(""/api/staff"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","64","app.use(""/api/matters"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","65","app.use(""/api/time-entries"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","66","app.use(""/api/deadlines"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","67","app.use(""/api/documents"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","68","app.use(""/api/intake"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","69","app.use(""/api/audit-logs"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","74","app.use(""/api/system-diagnostic"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","75","app.use(""/api/debug"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","76","app.use(""/api/monitor"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","77","app.use(""/api/errors"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","78","app.use(""/api/system-report"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","79","app.use(""/api/integrity-scan"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","80","app.use(""/api/auto-heal"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","81","app.use(""/api/scheduler"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","82","app.use(""/api/dashboard"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","83","app.use(""/api/matter-number"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","84","app.use(""/api/client-identity"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","85","app.use(""/api/conflict-check"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","86","app.use(""/api/matter-intake"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","87","app.use(""/api/workflow"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","88","app.use(""/api/task-automation"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","89","app.use(""/api/court-deadline"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","90","app.use(""/api/enterprise"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","91","app.use(""/api/enterprise/handlers"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","92","app.use(""/api/enterprise/events"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","93","app.use(""/api/enterprise/notifications"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","94","app.use(""/api/enterprise/workflows"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","95","app.use(""/api/enterprise/documents/lifecycle"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","96","app.use(""/api/enterprise/court-operations"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","97","app.use(""/api/enterprise/matters/intelligence"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","98","app.use(""/api/enterprise/command-centre"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","99","app.use(""/api/enterprise/assistant"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","100","app.use(""/api/enterprise/predictive"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","101","app.use(""/api/enterprise/navigation"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","102","app.use(""/api/enterprise/maps"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","103","app.use(""/api/enterprise/autonomous"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","104","app.use(""/api/enterprise/governance"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","105","app.use(""/api/enterprise/hardening"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","106","app.use(""/api/enterprise/backup-recovery"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","107","app.use(""/api/enterprise/monitoring"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","108","app.use(""/api/enterprise/performance"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","109","app.use(""/api/enterprise/deployment-centre"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","147","app.use(""/api/enterprise/environment"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","148","app.use(""/api/enterprise/release"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","149","app.use(""/api/enterprise/scoring"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","150","app.use(""/api/enterprise/executive-deployment"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","151","app.use(""/api/enterprise/gatekeeper"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","152","app.use(""/api/enterprise/operations"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","168","app.use(""/api/enterprise/operations-analytics"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","171","app.use(""/api/enterprise/autonomous"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","172","app.use(""/api/enterprise/ecosystem"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","173","app.use(""/api/enterprise/analytics"","
"backend\src\index.js","app\.use\(\s*[""'][^""']+[""']\s*,","174","app.use(""/api/enterprise/predictive"","
"backend\src\index.js","require\(\s*[""'][^""']*routes[^""']*[""']\s*\)","15","require(""./routes/alertRoutes"")"
"backend\src\index.js","require\(\s*[""'][^""']*routes[^""']*[""']\s*\)","55","require(""./routes/health"")"
"backend\src\index.js","require\(\s*[""'][^""']*routes[^""']*[""']\s*\)","60","require(""./routes/auth"")"
"backend\src\index.js","require\(\s*[""'][^""']*routes[^""']*[""']\s*\)","61","require(""./routes/cases"")"
"backend\src\index.js","require\(\s*[""'][^""']*routes[^""']*[""']\s*\)","62","require(""./routes/clients"")"
"backend\src\index.js","require\(\s*[""'][^""']*routes[^""']*[""']\s*\)","63","require(""./routes/staff"")"
"backend\src\index.js","require\(\s*[""'][^""']*routes[^""']*[""']\s*\)","64","require(""./routes/matters"")"
"backend\src\index.js","require\(\s*[""'][^""']*routes[^""']*[""']\s*\)","65","require(""./routes/timeEntries"")"
"backend\src\index.js","require\(\s*[""'][^""']*routes[^""']*[""']\s*\)","66","require(""./routes/deadlines"")"
"backend\src\index.js","require\(\s*[""'][^""']*routes[^""']*[""']\s*\)","67","require(""./routes/documents"")"
"backend\src\index.js","require\(\s*[""'][^""']*routes[^""']*[""']\s*\)","68","require(""./routes/intake"")"
"backend\src\index.js","require\(\s*[""'][^""']*routes[^""']*[""']\s*\)","69","require(""./routes/auditLogs"")"
"backend\src\index.js","require\(\s*[""'][^""']*routes[^""']*[""']\s*\)","74","require(""./routes/systemDiagnostic"")"
