"File","Pattern","Line","Match"
"frontend\src\enterprise\api\connectivityValidatorApi.js","path\s*:\s*[""'][^""']+[""']","4","path: ""/api/enterprise/monitoring/health"""
"frontend\src\enterprise\api\connectivityValidatorApi.js","path\s*:\s*[""'][^""']+[""']","5","path: ""/api/enterprise/hardening/deployment/readiness"""
"frontend\src\enterprise\api\connectivityValidatorApi.js","path\s*:\s*[""'][^""']+[""']","6","path: ""/api/enterprise/backup-recovery/health"""
"frontend\src\enterprise\api\connectivityValidatorApi.js","path\s*:\s*[""'][^""']+[""']","7","path: ""/api/enterprise/performance/health"""
"frontend\src\enterprise\api\connectivityValidatorApi.js","path\s*:\s*[""'][^""']+[""']","8","path: ""/api/enterprise/governance/health"""
"frontend\src\enterprise\api\connectivityValidatorApi.js","path\s*:\s*[""'][^""']+[""']","9","path: ""/api/enterprise/autonomous/health"""
"frontend\src\enterprise\api\connectivityValidatorApi.js","path\s*:\s*[""'][^""']+[""']","10","path: ""/api/enterprise/maps/health"""
"frontend\src\enterprise\api\connectivityValidatorApi.js","path\s*:\s*[""'][^""']+[""']","11","path: ""/api/enterprise/navigation/health"""
"frontend\src\enterprise\api\connectivityValidatorApi.js","path\s*:\s*[""'][^""']+[""']","12","path: ""/api/enterprise/predictive/health"""
"frontend\src\enterprise\api\connectivityValidatorApi.js","path\s*:\s*[""'][^""']+[""']","13","path: ""/api/enterprise/assistant/health"""
"frontend\src\enterprise\api\connectivityValidatorApi.js","path\s*:\s*[""'][^""']+[""']","14","path: ""/api/enterprise/command-centre/health"""
"frontend\src\enterprise\api\connectivityValidatorApi.js","path\s*:\s*[""'][^""']+[""']","15","path: ""/api/enterprise/documents/lifecycle/health"""
"frontend\src\enterprise\api\connectivityValidatorApi.js","path\s*:\s*[""'][^""']+[""']","16","path: ""/api/enterprise/court-operations/health"""
"frontend\src\enterprise\api\connectivityValidatorApi.js","path\s*:\s*[""'][^""']+[""']","17","path: ""/api/enterprise/matters/intelligence/health"""
"frontend\src\layout\layout.jsx","to\s*=\s*[""'][^""']+[""']","17","to=""/"""
"frontend\src\layout\layout.jsx","to\s*=\s*[""'][^""']+[""']","18","to=""/matters"""
"frontend\src\layout\layout.jsx","to\s*=\s*[""'][^""']+[""']","19","to=""/clients"""
