"PatternName","Line","Match","LineText"
"identifier star before equals","1517","Gender * =","          next.Gender * = suggestedGender;"
"dot property star","1517",".Gender *","          next.Gender * = suggestedGender;"
"dot property star","1881",".Gender *","      GenderSource: normalized.Gender * ? ""manual"" : ""auto"""
"dot property star","1946",".Gender *","        normalized.Gender *,"
"dot property star","2734",".Gender *","                  <td>{normalized.Gender * || ""-""}</td>"
"Gender star token","876","Gender *","  return rule === Gender *;"
"Gender star token","1113","Gender *","    Gender *,"
"Gender star token","1295","Gender *","    Gender *,"
"Gender star token","1517","Gender *","          next.Gender * = suggestedGender;"
"Gender star token","1522","Gender *","      if (field === ""Gender *"") {"
"Gender star token","1881","Gender *","      GenderSource: normalized.Gender * ? ""manual"" : ""auto"""
"Gender star token","1946","Gender *","        normalized.Gender *,"
"Gender star token","2073","Gender *","              Gender *"
"Gender star token","2074","Gender *","              <select value={form.gender} onChange={(event) => updateForm(""Gender *"", event.target.value)}>"
"Gender star token","2090","Gender *","              Manual title/Gender * override"
"Gender star token","2099","Gender *","                  placeholder=""Record verified reason for title/Gender * override."""
"Gender star token","2676","Gender *","              <th>Gender *</th>"
"Gender star token","2734","Gender *","                  <td>{normalized.Gender * || ""-""}</td>"
