"FullName","Name","Extension","Length","CreationTime","LastWriteTime","LastAccessTime"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\%REPORT%","%REPORT%","","315","19/6/2026 5:19:13 PM","19/6/2026 5:19:14 PM","20/6/2026 11:16:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\.env",".env",".env","0","18/6/2026 3:55:38 PM","18/6/2026 3:55:38 PM","20/6/2026 11:16:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\.env.example",".env.example",".example","0","18/6/2026 3:55:38 PM","18/6/2026 3:55:38 PM","20/6/2026 11:16:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\.gitignore",".gitignore",".gitignore","14","11/6/2026 3:28:35 PM","11/6/2026 3:28:35 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\10ZZD-LEGAL-ERP-INTEGRATION.md","10ZZD-LEGAL-ERP-INTEGRATION.md",".md","954","20/6/2026 7:41:39 PM","20/6/2026 7:42:10 PM","20/6/2026 7:42:10 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\ARCHITECTURE.md","ARCHITECTURE.md",".md","18694","9/6/2026 3:32:39 PM","9/6/2026 3:32:39 PM","20/6/2026 11:16:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\ARCHIVE_DOCTOR_BACKUPS","ARCHIVE_DOCTOR_BACKUPS","","0","18/6/2026 3:55:38 PM","18/6/2026 3:55:38 PM","20/6/2026 11:16:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\AUTOMATION-INVENTORY.txt","AUTOMATION-INVENTORY.txt",".txt","6967","20/6/2026 6:50:23 AM","20/6/2026 6:50:23 AM","20/6/2026 11:16:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\BUILD_PHASE10ZY8_EXECUTIVE_REGISTRY.bat","BUILD_PHASE10ZY8_EXECUTIVE_REGISTRY.bat",".bat","1183","20/6/2026 1:02:59 PM","20/6/2026 1:03:11 PM","20/6/2026 4:41:41 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\cleanup-error-output.txt","cleanup-error-output.txt",".txt","32","18/6/2026 5:42:53 PM","18/6/2026 5:42:53 PM","20/6/2026 11:16:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\clearInterval(timer)","clearInterval(timer)","","18","19/6/2026 3:06:19 PM","19/6/2026 3:06:19 PM","20/6/2026 11:16:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\create-audit-plan-doc.bat","create-audit-plan-doc.bat",".bat","1543","15/6/2026 10:40:15 AM","15/6/2026 10:40:23 AM","20/6/2026 11:16:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\create-phase6-docs-safe.bat","create-phase6-docs-safe.bat",".bat","4291","14/6/2026 6:23:00 PM","14/6/2026 6:23:12 PM","20/6/2026 11:16:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\create-phase6c-completion-report.bat","create-phase6c-completion-report.bat",".bat","1520","15/6/2026 11:56:03 AM","15/6/2026 11:56:15 AM","20/6/2026 11:16:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\Create_AI_Prompt_Library_SAFE.cmd","Create_AI_Prompt_Library_SAFE.cmd",".cmd","17828","15/6/2026 12:13:01 PM","15/6/2026 12:13:01 PM","20/6/2026 11:16:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\curl","curl","","0","19/6/2026 2:10:10 PM","19/6/2026 2:10:10 PM","20/6/2026 11:16:55 AM"
