"FullName","CreationTime","LastWriteTime","LastAccessTime"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\%REPORTDIR%","19/6/2026 5:19:13 PM","19/6/2026 5:19:13 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\android-app","9/6/2026 3:33:25 PM","9/6/2026 3:33:25 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\archive","20/6/2026 7:38:38 AM","20/6/2026 7:38:40 AM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend","9/6/2026 3:32:39 PM","20/6/2026 8:06:08 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backup","14/6/2026 5:55:45 PM","16/6/2026 8:18:10 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\CLEANUP_QUARANTINE","14/6/2026 4:38:59 PM","17/6/2026 3:26:30 AM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\configs","9/6/2026 3:33:48 PM","18/6/2026 9:30:01 AM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\data","18/6/2026 9:29:56 AM","18/6/2026 9:29:56 AM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\docs","9/6/2026 3:32:39 PM","20/6/2026 8:22:32 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\enterprise","20/6/2026 11:14:57 AM","20/6/2026 1:14:47 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend","9/6/2026 8:49:04 PM","19/6/2026 3:14:57 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\LITIGATION360_LIVE_DASHBOARD","18/6/2026 7:02:26 PM","18/6/2026 7:40:33 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\monitoring","20/6/2026 8:22:32 PM","20/6/2026 8:22:32 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules","9/6/2026 8:35:23 PM","20/6/2026 6:34:39 PM","20/6/2026 10:33:20 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\phase-10ZZD-commercialisation-framework","20/6/2026 8:22:32 PM","20/6/2026 8:22:32 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\phase-scripts","20/6/2026 7:38:38 AM","20/6/2026 7:38:38 AM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\PHASE_10A_AI_KNOWLEDGE_LEGAL_INTELLIGENCE","18/6/2026 6:48:39 PM","18/6/2026 6:48:39 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\reports","17/6/2026 7:23:17 AM","20/6/2026 8:22:32 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\scripts","14/6/2026 5:54:56 PM","19/6/2026 5:39:19 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots","15/6/2026 12:27:48 PM","17/6/2026 10:51:41 AM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\tests","17/6/2026 7:23:17 AM","20/6/2026 8:22:32 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\tools","14/6/2026 5:12:15 PM","20/6/2026 7:38:38 AM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\Usersjep_edmundrulzlitigation-360-workspacelitigation-360-software","19/6/2026 9:34:58 AM","19/6/2026 9:34:58 AM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\windows-app","9/6/2026 3:33:19 PM","9/6/2026 3:33:19 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_L360_PHASE_09_5_ENTERPRISE_CORE","18/6/2026 9:29:56 AM","18/6/2026 9:29:56 AM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations","18/6/2026 9:29:56 AM","20/6/2026 10:33:17 PM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\archive\legacy-root-files","20/6/2026 7:38:40 AM","20/6/2026 7:38:40 AM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\admin","20/6/2026 8:06:08 PM","20/6/2026 8:06:08 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\ARCHIVE_DOCTOR_BACKUPS","14/6/2026 4:42:30 PM","14/6/2026 4:42:40 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\audit","20/6/2026 6:29:04 PM","20/6/2026 7:25:18 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup","14/6/2026 6:06:24 PM","15/6/2026 1:28:01 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backups","14/6/2026 5:20:59 PM","14/6/2026 5:20:59 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\database","13/6/2026 10:58:54 PM","14/6/2026 7:43:59 AM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise","18/6/2026 8:26:19 AM","18/6/2026 1:41:05 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\licensing","20/6/2026 6:20:17 PM","20/6/2026 6:20:17 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\logs","9/6/2026 4:08:54 PM","18/6/2026 8:26:19 AM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\middleware","20/6/2026 6:29:04 PM","20/6/2026 6:29:04 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules","9/6/2026 3:35:56 PM","14/6/2026 5:10:23 PM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\routes","20/6/2026 6:29:04 PM","20/6/2026 6:29:04 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\scripts","14/6/2026 5:55:45 PM","14/6/2026 5:55:45 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src","9/6/2026 3:32:39 PM","18/6/2026 5:22:55 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\tools","14/6/2026 3:27:40 PM","18/6/2026 7:29:38 AM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\_operations","18/6/2026 2:06:46 PM","18/6/2026 2:06:46 PM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\client-audit-2026-06-14T16-34-24-462Z","15/6/2026 12:34:24 AM","15/6/2026 12:34:24 AM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\client-audit-2026-06-15T01-26-21-974Z","15/6/2026 9:26:21 AM","15/6/2026 9:26:21 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\clients-auditlogger-migration-2026-06-15T03-38-05-321Z","15/6/2026 11:38:05 AM","15/6/2026 11:38:05 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\deadlines-audit-2026-06-15T03-07-29-535Z","15/6/2026 11:07:29 AM","15/6/2026 11:07:29 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\deadlines-audit-repair-2026-06-15T03-24-52-577Z","15/6/2026 11:24:52 AM","15/6/2026 11:24:52 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\delete-client-audit-2026-06-15T01-31-58-553Z","15/6/2026 9:31:58 AM","15/6/2026 9:31:58 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\delete-client-exact-2026-06-15T01-34-07-132Z","15/6/2026 9:34:07 AM","15/6/2026 9:34:07 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\documents-audit-2026-06-15T02-46-34-928Z","15/6/2026 10:46:34 AM","15/6/2026 10:46:34 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\documents-audit-repair-2026-06-15T03-24-52-556Z","15/6/2026 11:24:52 AM","15/6/2026 11:24:52 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\logger-fix","14/6/2026 6:37:12 PM","14/6/2026 6:37:13 PM","20/6/2026 10:33:17 PM"
