"FullName","Name","Extension","Length","CreationTime","LastWriteTime"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\enterprise\reports\AllFiles.csv","AllFiles.csv",".csv","100567794","20/6/2026 11:16:55 AM","20/6/2026 11:45:20 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\enterprise\reports\JavaScriptFiles.csv","JavaScriptFiles.csv",".csv","51173877","20/6/2026 11:45:20 AM","20/6/2026 11:46:26 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\@rolldown\binding-win32-x64-msvc\rolldown-binding.win32-x64-msvc.node","rolldown-binding.win32-x64-msvc.node",".node","23471616","9/6/2026 8:49:27 PM","9/6/2026 8:49:32 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\frontend\node_modules\@rolldown\binding-win32-x64-msvc\rolldown-binding.win32-x64-msvc.node","rolldown-binding.win32-x64-msvc.node",".node","23471616","17/6/2026 7:22:14 AM","9/6/2026 8:49:32 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\audit\SAFE-INVENTORY-AUDIT-20260620-223317\HASH-INVENTORY.csv","HASH-INVENTORY.csv",".csv","19100165","20/6/2026 11:31:14 PM","20/6/2026 11:31:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\audit\SAFE-INVENTORY-AUDIT-20260620-223317\DUPLICATES-BY-CONTENT-HASH.csv","DUPLICATES-BY-CONTENT-HASH.csv",".csv","18126922","20/6/2026 11:31:18 PM","20/6/2026 11:32:46 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\audit\SAFE-INVENTORY-AUDIT-20260620-223317\FILE-INVENTORY.csv","FILE-INVENTORY.csv",".csv","16271240","20/6/2026 10:33:24 PM","20/6/2026 10:33:45 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\reports\inventory\project_inventory.txt","project_inventory.txt",".txt","10563499","18/6/2026 7:46:15 PM","18/6/2026 7:46:59 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\phase-09-9-hardening\06-golden-snapshot\reports\full-file-inventory.txt","full-file-inventory.txt",".txt","10525127","18/6/2026 5:01:16 PM","18/6/2026 3:34:14 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\phase-09-9-hardening\03-housekeeping\full-file-inventory.txt","full-file-inventory.txt",".txt","10525127","18/6/2026 3:34:01 PM","18/6/2026 3:34:14 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\housekeeping-reports\file-inventory-SAFE-SCAN.txt","file-inventory-SAFE-SCAN.txt",".txt","10512235","18/6/2026 9:45:38 AM","18/6/2026 9:45:42 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\housekeeping-reports\file-inventory-Thu018-06-2026_09-35-55.13.txt","file-inventory-Thu018-06-2026_09-35-55.13.txt",".txt","10510335","18/6/2026 9:36:08 AM","18/6/2026 9:36:15 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\lightningcss-win32-x64-msvc\lightningcss.win32-x64-msvc.node","lightningcss.win32-x64-msvc.node",".node","9497600","9/6/2026 8:49:28 PM","9/6/2026 8:49:31 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\frontend\node_modules\lightningcss-win32-x64-msvc\lightningcss.win32-x64-msvc.node","lightningcss.win32-x64-msvc.node",".node","9497600","17/6/2026 7:22:48 AM","9/6/2026 8:49:31 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase6c-complete\backend\node_modules\better-sqlite3\deps\sqlite3\sqlite3.c","sqlite3.c",".c","9490717","15/6/2026 12:28:02 PM","9/6/2026 5:41:36 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\backend\node_modules\better-sqlite3\deps\sqlite3\sqlite3.c","sqlite3.c",".c","9490717","17/6/2026 3:38:31 AM","9/6/2026 5:41:36 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\better-sqlite3\deps\sqlite3\sqlite3.c","sqlite3.c",".c","9490717","9/6/2026 5:41:35 PM","9/6/2026 5:41:36 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\enterprise\reports\FolderInventory.csv","FolderInventory.csv",".csv","6734296","20/6/2026 11:47:15 AM","20/6/2026 11:47:25 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\reports\inventory\PROJECT_FILES.txt","PROJECT_FILES.txt",".txt","6297572","14/6/2026 4:37:58 PM","20/6/2026 6:42:42 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\phase-10A-cleanup-and-handover\reports\full-tree-before-cleanup.txt","full-tree-before-cleanup.txt",".txt","6085081","18/6/2026 5:35:45 PM","18/6/2026 5:39:13 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\housekeeping-reports\size-report-SAFE-SCAN.txt","size-report-SAFE-SCAN.txt",".txt","6058210","18/6/2026 9:45:42 AM","18/6/2026 9:45:46 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\housekeeping-reports\size-report-Thu018-06-2026_09-35-55.13.txt","size-report-Thu018-06-2026_09-35-55.13.txt",".txt","6057184","18/6/2026 9:36:15 AM","18/6/2026 9:36:21 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\enterprise\reports\DocumentationFiles.csv","DocumentationFiles.csv",".csv","5688777","20/6/2026 11:46:44 AM","20/6/2026 11:47:06 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\phase7_backend_file_inventory.txt","phase7_backend_file_inventory.txt",".txt","5484407","15/6/2026 12:34:18 PM","15/6/2026 12:36:08 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\enterprise\reports\JsonFiles.csv","JsonFiles.csv",".csv","5476306","20/6/2026 11:46:26 AM","20/6/2026 11:46:44 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\reports\inventory\FULL_FILE_LIST.txt","FULL_FILE_LIST.txt",".txt","3367608","13/6/2026 4:19:27 PM","13/6/2026 4:19:29 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\audit\SAFE-INVENTORY-AUDIT-20260620-223317\PROJECT-TREE.txt","PROJECT-TREE.txt",".txt","3211924","20/6/2026 10:33:17 PM","20/6/2026 10:33:24 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\project-tree.txt","project-tree.txt",".txt","3182143","20/6/2026 11:07:17 AM","20/6/2026 11:07:39 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\reports\audit\POST_CLEANUP_TREE.txt","POST_CLEANUP_TREE.txt",".txt","3181043","20/6/2026 7:39:56 AM","20/6/2026 7:39:59 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\reports\inventory\PROJECT_TREE.txt","PROJECT_TREE.txt",".txt","3179197","14/6/2026 4:37:49 PM","20/6/2026 6:42:05 AM"
