
Check                                              Result Path                                                                                                             
-----                                              ------ ----                                                                                                             
Project Root Exists                                  True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software                                         
Backend Root Exists                                  True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend                                 
Backend Source Exists                                True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src                             
Backend index.js Exists                              True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\index.js                    
10Z.0 Engine Exists                                  True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\automation\enterpriseOper...
10Z.0 Route Exists                                   True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\routes\enterpriseOperatio...
10Z.0 Route Mounted                                  True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\index.js                    
10Z.0 Ops Folder Exists                              True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\phase-10Z0-enterprise-ope...
10Z.1 Alert Engine Exists                            True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\automation\alertEngine.js   
10Z.1 Escalation Engine Exists                       True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\automation\escalationEngi...
10Z.1 Notification Engine Exists                     True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\automation\notificationEn...
10Z.1 Alert Route Exists                             True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\routes\alertRoutes.js       
10Z.1 Route Mounted                                  True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\index.js                    
10Z.1 Ops Folder Exists                              True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\phase-10Z1-alert-escalati...
10Z.2 Analytics Engine Exists                        True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\automation\operationsAnal...
10Z.2 Analytics Route Exists                         True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\routes\operationsAnalytic...
10Z.2 Route Mounted                                 False C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\index.js                    
10Z.2 Ops Folder Exists                              True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\phase-10Z2-enterprise-ope...
10Z.3 Predictive Engine Exists                      False C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\automation\predictiveInte...
10Z.3 Risk Engine Exists                            False C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\automation\riskScoringEng...
10Z.3 Trend Engine Exists                           False C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\automation\trendAnalysisE...
10Z.3 Forecast Engine Exists                        False C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\automation\forecastEngine.js
10Z.3 Predictive Route Exists                       False C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\routes\predictiveRoutes.js  
10Z.3 Route Mounted                                  True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\index.js                    
10Z.3 Ops Folder Exists                             False C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\phase-10Z3-predictive-int...
10Z.4 Autonomous Supervisor Exists                   True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\automation\autonomousSupe...
10Z.4 Watchdog Engine Exists                         True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\automation\watchdogEngine.js
10Z.4 Recovery Engine Exists                         True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\automation\recoveryEngine.js
10Z.4 Remediation Engine Exists                      True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\automation\remediationEng...
10Z.4 Decision Engine Exists                         True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\automation\decisionEngine.js
10Z.4 Autonomous Route Exists                        True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\routes\autonomousRoutes.js  
10Z.4 Route Mounted                                  True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\index.js                    
10Z.4 Ops Folder Exists                              True C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\phase-10Z4-autonomous-ope...
Google Maps Readiness Present                        True backend\src recursive JS search                                                                                  
PERKESO Jalan Tun Razak Coverage Present             True backend\src recursive JS search                                                                                  
Court Navigation Readiness Present                   True backend\src recursive JS search                                                                                  
Industrial Court Kuala Lumpur Coverage Present       True backend\src recursive JS search                                                                                  
PERKESO Headquarters Jalan Ampang Coverage Present   True backend\src recursive JS search                                                                                  
Waze Readiness Present                               True backend\src recursive JS search                                                                                  
Live 10Z.0 Operations Health Endpoint               False http://localhost:5100/api/enterprise/operations/health                                                           
Live 10Z.1 Alerts Health Endpoint                   False http://localhost:5100/api/enterprise/alerts/health                                                               
Live 10Z.2 Analytics Health Endpoint                False http://localhost:5100/api/enterprise/analytics/health                                                            
Live 10Z.3 Predictive Health Endpoint               False http://localhost:5100/api/enterprise/predictive/health                                                           
Live 10Z.4 Autonomous Health Endpoint               False http://localhost:5100/api/enterprise/autonomous/health                                                           



