"Name","FullPath","Extension","SizeBytes","LastModified","Category"
"keepawake.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\keepawake.ps1",".ps1","35963","9/6/2026 11:42:23 AM","General"
"L360-PHASE10A-HANDLER-REGISTRY-FINISHER.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10A-HANDLER-REGISTRY-FINISHER.ps1",".ps1","11692","18/6/2026 6:13:59 PM","General"
"L360-PHASE10B-UNIVERSAL-EVENT-BUS.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10B-UNIVERSAL-EVENT-BUS.ps1",".ps1","12052","18/6/2026 6:41:34 PM","General"
"L360-PHASE10C-NOTIFICATION-FRAMEWORK.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10C-NOTIFICATION-FRAMEWORK.ps1",".ps1","14845","18/6/2026 6:59:12 PM","General"
"L360-PHASE10D-WORKFLOW-AUTOMATION-ENGINE.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10D-WORKFLOW-AUTOMATION-ENGINE.ps1",".ps1","19998","18/6/2026 7:13:27 PM","General"
"L360-PHASE10E-DOCUMENT-LIFECYCLE-ENGINE.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10E-DOCUMENT-LIFECYCLE-ENGINE.ps1",".ps1","24334","18/6/2026 7:34:15 PM","General"
"L360-PHASE10F-COURT-OPERATIONS-ENGINE.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10F-COURT-OPERATIONS-ENGINE.ps1",".ps1","23151","18/6/2026 7:47:53 PM","Court"
"L360-PHASE10G-MATTER-INTELLIGENCE-ENGINE.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10G-MATTER-INTELLIGENCE-ENGINE.ps1",".ps1","22135","18/6/2026 8:31:37 PM","General"
"L360-PHASE10H-EXECUTIVE-COMMAND-CENTRE.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10H-EXECUTIVE-COMMAND-CENTRE.ps1",".ps1","14417","18/6/2026 9:05:34 PM","General"
"L360-PHASE10I-LEGAL-OPERATIONS-ASSISTANT.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10I-LEGAL-OPERATIONS-ASSISTANT.ps1",".ps1","17168","18/6/2026 9:12:17 PM","General"
"L360-PHASE10J-PREDICTIVE-LITIGATION-ANALYTICS.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10J-PREDICTIVE-LITIGATION-ANALYTICS.ps1",".ps1","19269","18/6/2026 9:53:18 PM","General"
"L360-PHASE10K-COURT-NAVIGATION-INTELLIGENCE.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10K-COURT-NAVIGATION-INTELLIGENCE.ps1",".ps1","20266","18/6/2026 10:05:42 PM","Court"
"L360-PHASE10K-PERKESO-INDUSTRIAL-COURT-PATCH.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10K-PERKESO-INDUSTRIAL-COURT-PATCH.ps1",".ps1","9357","18/6/2026 10:13:36 PM","Court"
"L360-PHASE10L-COURT-REGISTRY-FIX.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10L-COURT-REGISTRY-FIX.ps1",".ps1","7177","19/6/2026 12:50:03 AM","Court"
"L360-PHASE10L-MAPS-RESTORE.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10L-MAPS-RESTORE.ps1",".ps1","13168","19/6/2026 12:27:43 AM","General"
"L360-PHASE10M-AUTONOMOUS-OPERATIONS-ENGINE.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10M-AUTONOMOUS-OPERATIONS-ENGINE.ps1",".ps1","23268","18/6/2026 10:47:11 PM","General"
