"FullName","Name","Extension","Length","LastWriteTime"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\.env",".env",".env","211","14/6/2026 5:09:19 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\.env.example",".env.example",".example","596","9/6/2026 4:11:32 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\deploy-phase-10A-handler-registry-V2-auto-root.bat","deploy-phase-10A-handler-registry-V2-auto-root.bat",".bat","15295","18/6/2026 5:22:50 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\dev-safe.bat","dev-safe.bat",".bat","543","14/6/2026 5:29:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\launch-dev.bat","launch-dev.bat",".bat","843","14/6/2026 4:28:50 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\litigation360.db","litigation360.db",".db","180224","18/6/2026 4:43:31 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\migrate-clients-auditlogger.js","migrate-clients-auditlogger.js",".js","849","15/6/2026 11:37:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\migrate-matters-auditlogger.js","migrate-matters-auditlogger.js",".js","880","15/6/2026 11:51:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\package-lock.json","package-lock.json",".json","248405","14/6/2026 5:10:23 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\package.json","package.json",".json","1562","14/6/2026 5:10:23 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\patch-client-audit-approved.js","patch-client-audit-approved.js",".js","2529","15/6/2026 12:34:07 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\patch-deadlines-audit-approved.js","patch-deadlines-audit-approved.js",".js","3938","15/6/2026 11:07:21 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\patch-delete-client-audit-only.js","patch-delete-client-audit-only.js",".js","1389","15/6/2026 9:31:47 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\patch-delete-client-exact.js","patch-delete-client-exact.js",".js","1538","15/6/2026 9:33:48 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\patch-documents-audit-approved.js","patch-documents-audit-approved.js",".js","2441","15/6/2026 10:46:18 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\patch-matters-audit-approved.js","patch-matters-audit-approved.js",".js","1728","15/6/2026 9:52:15 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\patch-matters-audit-linebased.js","patch-matters-audit-linebased.js",".js","1789","15/6/2026 9:57:30 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\patch-shutdown.ps1","patch-shutdown.ps1",".ps1","863","14/6/2026 2:43:54 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\phase7_backend_files_clean.txt","phase7_backend_files_clean.txt",".txt","19753","15/6/2026 12:37:19 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\PHASE8A-FINAL-INVENTORY.js","PHASE8A-FINAL-INVENTORY.js",".js","1725","17/6/2026 5:09:13 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\phase8a2-list-tables.js","phase8a2-list-tables.js",".js","576","17/6/2026 4:51:31 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\README.md","README.md",".md","1938","9/6/2026 3:32:39 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\repair-clients-route-approved.js","repair-clients-route-approved.js",".js","3687","15/6/2026 9:40:16 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\repair-documents-deadlines-audit.js","repair-documents-deadlines-audit.js",".js","6435","15/6/2026 11:24:32 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\RUN-PHASE8A2.bat","RUN-PHASE8A2.bat",".bat","612","17/6/2026 4:47:51 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\safe-rbac-patch-approved.ps1","safe-rbac-patch-approved.ps1",".ps1","2080","14/6/2026 6:10:56 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\start-safe.bat","start-safe.bat",".bat","416","14/6/2026 2:42:10 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\admin\admin-actions-audit.log","admin-actions-audit.log",".log","7503","21/6/2026 10:25:21 AM"
