"Count","Name"
"16","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\database.js"
"14","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\package-lock.json"
"12","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\models\index.js"
"12","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\routes\sqliteAuth.js"
"12","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\routes_BACKUP_BEFORE_ROLE_HARDENING\sqliteAuth.js"
"8","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\database_BACKUP_1.js"
"4","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\PHASE8A-FINAL-INVENTORY.js"
"4","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\tools\phase8b-schema-export.js"
"3","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\models\TimeEntry.js"
"3","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\models\User.js"
"3","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\models\Task.js"
"3","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\migrations\023_create_roles_permissions.sql"
"3","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\phase8a2-list-tables.js"
"3","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\models\Client.js"
"3","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\models\Communication.js"
"3","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\models\Document.js"
"3","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\models\Invoice.js"
"3","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\models\Matter.js"
"3","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\models\Firm.js"
"2","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\tools\phase9a-db-setup.js"
"2","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\migrate-matters-auditlogger.js"
"2","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\package.json"
"2","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\migrate-clients-auditlogger.js"
"1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\automation\deploymentReadinessCentre.js"
"1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\routes\conflictCheck.js"
"1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\routes\clientIdentity.js"
"1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\automation\enterpriseHardeningEngine.js"
"1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\routes\matterNumbering.js"
"1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\routes\matterIntake.js"
"1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\src\routes\enterpriseRoutes.js"
